satellite спутник са'телайт
learn_out узнать лё'н_аут
extension расширение эксте'шен
purpose цель пёрпо'ус
accord согласие эко'рт
spend тратить спэнд
bottom дно бо'тэм
conclude заключить кэнклу'д
particular особый парти'кюлар
preliminary предварительный прелэ'мэнэри
equipment оборудование экуы'пмэнт
adequate адекватный а'дыкуэт
permit разрешать пё'рмэт
wide широкий уаa'йд
launch запускать лёо'чь
decade десятилетие де'кейд
regard рассматривать ры'гат
direct прямой дайрэ'кт
conducte проводить кэнда'кт
remain оставаться рыма'йн
reach достичь рыи'ч
although хотя улза'ю
breakthrough прорыв брей'ксру
radical радикальный ра'дикл
exposure экспозиция икспо'уша
