sufficient достаточно сы'фэшынт
accordance соответствие эко'удэнс
extensive обширный икстэ'нсэв
perform выполнять пёфо'ум
vehicle транспортное_средство ве'ыкл
apparatus аппарат а'пэрэитэс
due обуслевленный тче'ю
combine комбинировать кэмба'йн
rare редкий рэа'
drastically кардинально друа'стэкли
consequent последующий ко'сэкуэнт
precise точный прэса'йс
state утверждать ста'йт
objective задача эбджа'ктив
composition состав ко'мпэзишэн
shed_light пролить_свет шэ'дла'йт
feature особенность фи'ча
provide предоставлять прува'йт
epoch эпоха и'пок
