recent недавний ри'сэнт
nearby рядом ниэ'бай
reveal выявить рывиэ'л
quanta кванты куантэ'
annihilation уничтожение анаилэ'шэн
strangelets странники стра'йнджлэтс
abundance изобилие оу'бандэнтс
to_date устареть тудэ'йт
universal универсальный юнивё'рсэл
reliable надежный рэла'йбл
significant существенный сыгны'фэкэнт
crucial ключевой кру'юшэл
payload полезная_нагрузка пэ'йллоуд
yet еще ие'т
overall в_общем_и_целом оувэро'л
make_up составить мэйка'п
exceed превышать экси'ит
sampling отбор_проб са'мплин
turn_out оказаться тё'наут
elongate удлинять и'лонгэйт
flat плоский флэа'т
pan-cake блин пэа'нкэ'йк
